temperature,vibration,pressure,current,rpm,failure_label
45.0,2.3,120,15.6,1800,0
47.5,2.5,125,16.1,1820,0
50.0,2.8,130,16.5,1850,1
52.0,3.0,135,17.0,1900,0
55.0,3.5,140,17.5,1950,1
56.0,3.6,142,17.6,1960,1
57.0,3.7,145,17.8,1980,1
58.0,3.8,148,18.0,2000,1
59.0,3.9,150,18.2,2020,1
60.0,4.0,155,18.5,2050,1
61.0,4.1,158,18.7,2080,1
62.0,4.2,160,19.0,2100,1
63.0,4.3,162,19.2,2120,1
64.0,4.4,165,19.5,2150,1
65.0,4.5,168,19.8,2180,1
66.0,4.6,170,20.0,2200,1
67.0,4.7,172,20.2,2220,1
68.0,4.8,175,20.5,2250,1
69.0,4.9,178,20.8,2280,1
70.0,5.0,180,21.0,2300,1
71.0,5.1,182,21.2,2320,1
72.0,5.2,185,21.5,2350,1
73.0,5.3,188,21.8,2380,1
74.0,5.4,190,22.0,2400,1
75.0,5.5,192,22.2,2420,1
76.0,5.6,195,22.5,2450,1
77.0,5.7,198,22.8,2480,1
78.0,5.8,200,23.0,2500,1
79.0,5.9,202,23.2,2520,1
80.0,6.0,205,23.5,2550,1
81.0,6.1,208,23.8,2580,1
82.0,6.2,210,24.0,2600,1
83.0,6.3,212,24.2,2620,1
84.0,6.4,215,24.5,2650,1
85.0,6.5,218,24.8,2680,1
86.0,6.6,220,25.0,2700,1
87.0,6.7,222,25.2,2720,1
88.0,6.8,225,25.5,2750,1
89.0,6.9,228,25.8,2780,1
90.0,7.0,230,26.0,2800,1
91.0,7.1,232,26.2,2820,1
92.0,7.2,235,26.5,2850,1
93.0,7.3,238,26.8,2880,1
94.0,7.4,240,27.0,2900,1
95.0,7.5,242,27.2,2920,1
96.0,7.6,245,27.5,2950,1
97.0,7.7,248,27.8,2980,1
98.0,7.8,250,28.0,3000,1
99.0,7.9,252,28.2,3020,1
100.0,8.0,255,28.5,3050,1
